Epoch, F-1 Score,,,,Epoch, F-1 Score
1,0.5404984424,1,0.557648832,,1,0.5490736372
2,0.7215189873,2,0.606957809,,2,0.6642383982
3,0.7307086614,3,0.7395209581,,3,0.7351148098
4,0.749022674,4,0.7319884726,,4,0.7405055733
5,0.7708333333,5,0.776075857,,5,0.7734545952
6,0.7876874507,6,0.7847171198,,6,0.7862022852
7,0.7842519685,7,0.7979274611,,7,0.7910897148
8,0.8015810277,8,0.7911439114,,8,0.7963624696
9,0.8103044496,9,0.8049490539,,9,0.8076267518
10,0.8193901486,10,0.8117216117,,10,0.8155558801
11,0.8116169545,11,0.8140043764,,11,0.8128106654
12,0.8068803753,12,0.8266860044,,12,0.8167831898
13,0.8169014085,13,0.823015295,,13,0.8199583517
14,0.8138256088,14,0.8311306902,,14,0.8224781495
15,0.8152766952,15,0.8224163028,,15,0.818846499
16,0.8205928237,16,0.8291970803,,16,0.824894952
17,0.8203921569,17,0.8285922684,,17,0.8244922126
18,0.8234375,18,0.8312636961,,18,0.8273505981
19,0.8239875389,19,0.8312636961,,19,0.8276256175
20,0.8237129485,20,0.832968636,,20,0.8283407923
21,0.8239875389,21,0.8345534407,,21,0.8292704898
22,0.8261886204,22,0.8322440087,,22,0.8292163146
23,0.8177496038,23,0.8326055313,,23,0.8251775675
24,0.824629774,24,0.8301610542,,24,0.8273954141
25,0.8303362002,25,0.8341855369,,25,0.8322608685
26,0.8260188088,26,0.8301610542,,26,0.8280899315
27,0.825,27,0.8329654157,,27,0.8289827079
28,0.8303362002,28,0.8347953216,,28,0.8325657609
29,0.8277474669,29,0.8356669123,,29,0.8317071896
30,0.8268330733,30,0.8366300366,,30,0.831731555
31,0.8337236534,31,0.8352941176,,31,0.8345088855
32,0.8286604361,32,0.8376193975,,32,0.8331399168
33,0.8317757009,33,0.8330893119,,33,0.8324325064
34,0.8315132605,34,0.8333333333,,34,0.8324232969
35,0.8302180685,35,0.834193073,,35,0.8322055707
36,0.8296875,36,0.8359087564,,36,0.8327981282
37,0.8272087568,37,0.8352941176,,37,0.8312514372
38,0.8302180685,38,0.8356464573,,38,0.8329322629
39,0.83125,39,0.8373804268,,39,0.8343152134
40,0.8306010929,40,0.8127313101,,40,0.8216662015
41,0.8293063133,41,0.8344370861,,41,0.8318716997
42,0.8283931357,42,0.8345642541,,42,0.8314786949
43,0.826459144,43,0.8335787923,,43,0.8300189682
44,0.8306010929,44,0.8236141109,,44,0.8271076019
45,0.828125,45,0.8312636961,,45,0.8296943481
46,0.8296875,46,0.8350364964,,46,0.8323619982
47,0.8299531981,47,0.8347953216,,47,0.8323742599
48,0.828125,48,0.8328445748,,48,0.8304847874
49,0.8334636435,49,0.8321060383,,49,0.8327848409
50,0.8280155642,50,0.8332108744,,50,0.8306132193
51,0.8287724785,51,0.8357771261,,51,0.8322748023
52,0.8286604361,52,0.833819242,,52,0.8312398391
53,0.8286604361,53,0.8327246165,,53,0.8306925263
54,0.8280155642,54,0.8347953216,,54,0.8314054429
55,0.8255451713,55,0.8372434018,,55,0.8313942866
56,0.8311284047,56,0.8330893119,,56,0.8321088583
57,0.8289269051,57,0.8350515464,,57,0.8319892258
58,0.8282828283,58,0.8336996337,,58,0.830991231
59,0.8287724785,59,0.8325991189,,59,0.8306857987
60,0.8321623731,60,0.8352941176,,60,0.8337282454
61,0.8271028037,61,0.8340675477,,61,0.8305851757
62,0.8280155642,62,0.8325991189,,62,0.8303073416
63,0.8280155642,63,0.8305209098,,63,0.829268237
64,0.8304821151,64,0.8281938326,,64,0.8293379738
65,0.8295719844,65,0.8291605302,,65,0.8293662573
66,0.826459144,66,0.8327246165,,66,0.8295918802
67,0.8254460822,67,0.8323529412,,67,0.8288995117
68,0.8271028037,68,0.8311306902,,68,0.829116747
69,0.8293063133,69,0.8276877761,,69,0.8284970447
70,0.8268330733,70,0.8272327965,,70,0.8270329349
71,0.8271028037,71,0.8261188555,,71,0.8266108296
72,0.8260188088,72,0.8286969253,,72,0.8273578671
73,0.8243559719,73,0.8212983224,,73,0.8228271471
74,0.8247261346,74,0.8214548126,,74,0.8230904736
75,0.827856025,75,0.825164594,,75,0.8265103095
76,0.8247261346,76,0.8224852071,,76,0.8236056708
77,0.8262910798,77,0.8210372535,,77,0.8236641666
78,0.8237129485,78,0.8263736264,,78,0.8250432874
79,0.8280155642,79,0.8289473684,,79,0.8284814663
80,0.8280155642,80,0.8290535583,,80,0.8285345613
81,0.8231611894,81,0.8228317272,,81,0.8229964583
82,0.8280155642,82,0.8266276518,,82,0.827321608
83,0.8280155642,83,0.8294460641,,83,0.8287308142
84,0.8293063133,84,0.8243045388,,84,0.8268054261
85,0.826459144,85,0.8237885463,,85,0.8251238451
86,0.8295719844,86,0.8203240059,,86,0.8249479952
87,0.8237129485,87,0.817849305,,87,0.8207811268
88,0.8237129485,88,0.8229243204,,88,0.8233186344
89,0.8271028037,89,0.8161172161,,89,0.8216100099
90,0.8255451713,90,0.8199853049,,90,0.8227652381
91,0.8239875389,91,0.8193832599,,91,0.8216853994
92,0.824629774,92,0.8184480234,,92,0.8215388987
93,0.8267288267,93,0.8275862069,,93,0.8271575168
94,0.8268330733,94,0.8262773723,,94,0.8265552228
95,0.8268330733,95,0.8217967599,,95,0.8243149166
96,0.824629774,96,0.8196480938,,96,0.8221389339
97,0.8233463035,97,0.8199121523,,97,0.8216292279
98,0.8255451713,98,0.8225806452,,98,0.8240629083
99,0.8239875389,99,0.8300220751,,99,0.827004807
100,0.8208722741,100,0.8226637233,,100,0.8217679987
101,0.8271028037,101,0.8185840708,,101,0.8228434373
102,0.8255451713,102,0.8166544923,,102,0.8210998318
103,0.8239875389,103,0.823269514,,103,0.8236285265
104,0.8255451713,104,0.8272327965,,104,0.8263889839
105,0.8271028037,105,0.8231841526,,105,0.8251434782
106,0.8271028037,106,0.8213762811,,106,0.8242395424
107,0.825,107,0.8226637233,,107,0.8238318617
108,0.8274785324,108,0.8214548126,,108,0.8244666725
109,0.825,109,0.8185157972,,109,0.8217578986
110,0.824629774,110,0.8209285188,,110,0.8227791464
111,0.8230709275,111,0.821192053,,111,0.8221314902
112,0.8233463035,112,0.8223201175,,112,0.8228332105
113,0.8252730109,113,0.8220588235,,113,0.8236659172
114,0.8217898833,114,0.8185157972,,114,0.8201528402
115,0.8249027237,115,0.8179148311,,115,0.8214087774
116,0.8243559719,116,0.8175824176,,116,0.8209691947
117,0.8224299065,117,0.8235294118,,117,0.8229796592
118,0.8199532346,118,0.8175824176,,118,0.8187678261
119,0.8335949765,119,0.8225806452,,119,0.8280878108
120,0.8251748252,120,0.8223201175,,120,0.8237474713
121,0.8227060653,121,0.8149231895,,121,0.8188146274
122,0.8227060653,122,0.8161172161,,122,0.8194116407
123,0.8227946916,123,0.8181818182,,123,0.8204882549
124,0.8271028037,124,0.8157894737,,124,0.8214461387
125,0.8230709275,125,0.8155197657,,125,0.8192953466
126,0.8199532346,126,0.8223201175,,126,0.821136676
127,0.8227060653,127,0.8196480938,,127,0.8211770796
128,0.8230709275,128,0.8134601317,,128,0.8182655296
129,0.8215120811,129,0.8225806452,,129,0.8220463631
130,0.8234375,130,0.8196480938,,130,0.8215427969
131,0.825,131,0.8185157972,,131,0.8217578986
132,0.8215120811,132,0.8205882353,,132,0.8210501582
133,0.8229813665,133,0.8214548126,,133,0.8222180895
