Percentage, Seed, F-1 Score
100.0%, 0, 0.716400236827
100.0%, 1, 0.928314778818
100.0%, 2, 0.70469997044
100.0%, 3, 0.711833785005
100.0%, 4, 0.716295427902
100.0%, 5, 0.928138426226
100.0%, 6, 0.709101725164
100.0%, 7, 0.933611642605
100.0%, 8, 0.930356625109
100.0%, 9, 0.710005991612
100.0%, 10, 0.722913505311
100.0%, 11, 0.717372003551
100.0%, 12, 0.713387241689
50.0%, 0, 0.677145551713
50.0%, 1, 0.921105468289
50.0%, 2, 0.668065967016
50.0%, 3, 0.656419529837
50.0%, 4, 0.672518159806
50.0%, 5, 0.919837196956
50.0%, 6, 0.693718064322
50.0%, 7, 0.923443032097
50.0%, 8, 0.918273431584
50.0%, 9, 0.697674418605
50.0%, 10, 0.690533980583
50.0%, 11, 0.688935281837
50.0%, 12, 0.665874665875
20.0%, 0, 0.630722891566
20.0%, 1, 0.905339088275
20.0%, 2, 0.641871625675
20.0%, 3, 0.612356147789
20.0%, 4, 0.616476396174
20.0%, 5, 0.908263925808
20.0%, 6, 0.628622647147
20.0%, 7, 0.908709583455
20.0%, 8, 0.904789719626
20.0%, 9, 0.637421665175
20.0%, 10, 0.624884792627
20.0%, 11, 0.63827121829
20.0%, 12, 0.58147925436
10.0%, 0, 0.507582791705
10.0%, 1, 0.891837460017
10.0%, 2, 0.53546208167
10.0%, 3, 0.538866522143
10.0%, 4, 0.508529127776
10.0%, 5, 0.895311117664
10.0%, 6, 0.559678416821
10.0%, 7, 0.894000585309
10.0%, 8, 0.896511287013
10.0%, 9, 0.57529078906
10.0%, 10, 0.561129468309
10.0%, 11, 0.563630788102
10.0%, 12, 0.512473052048
5.0%, 0, 0.449358974359
5.0%, 1, 0.869972713252
5.0%, 2, 0.410977242303
5.0%, 3, 0.399481193256
5.0%, 4, 0.435467980296
5.0%, 5, 0.857886025065
5.0%, 6, 0.344827586207
5.0%, 7, 0.866639165537
5.0%, 8, 0.876675128402
5.0%, 9, 0.443444730077
5.0%, 10, 0.469786179114
5.0%, 11, 0.459476707084
5.0%, 12, 0.403388725969
2.0%, 0, 0.271218889598
2.0%, 1, 0.847343961409
2.0%, 2, 0.242443729904
2.0%, 3, 0.218277449047
2.0%, 4, 0.217439703154
2.0%, 5, 0.852948255114
2.0%, 6, 0.24238410596
2.0%, 7, 0.841354933726
2.0%, 8, 0.854843481863
2.0%, 9, 0.253575570158
2.0%, 10, 0.286346396966
2.0%, 11, 0.239316239316
2.0%, 12, 0.201454545455
1.0%, 0, 0.0900900900901
1.0%, 1, 0.835790725327
1.0%, 2, 0.166184971098
1.0%, 3, 0.124497991968
1.0%, 4, 0.125718666156
1.0%, 5, 0.838378474066
1.0%, 6, 0.12037037037
1.0%, 7, 0.852628343068
1.0%, 8, 0.863099374566
1.0%, 9, 0.142006802721
1.0%, 10, 0.096011816839
1.0%, 11, 0.130775937228
1.0%, 12, 0.181477315336
0.5%, 0, 0.0656814449918
0.5%, 1, 0.826015303119
0.5%, 2, 0.150766609881
0.5%, 3, 0.191444600281
0.5%, 4, 0.0458279290964
0.5%, 5, 0.82902584493
0.5%, 6, 0.125244618395
0.5%, 7, 0.850318668399
0.5%, 8, 0.85031885453
0.5%, 9, 0.120617110799
0.5%, 10, 0.116009280742
0.5%, 11, 0.0578990901572
0.5%, 12, 0.0732336255802
