Percentage, Seed, F-1 Score
100.0%, 0, 0.718377088305
100.0%, 1, 0.92711644884
100.0%, 2, 0.720047804004
100.0%, 3, 0.729348152598
100.0%, 4, 0.7134256472
100.0%, 5, 0.929901036758
100.0%, 6, 0.721886336155
100.0%, 7, 0.93262987013
100.0%, 8, 0.930294595222
100.0%, 9, 0.721194029851
100.0%, 10, 0.710196779964
100.0%, 11, 0.716780112459
100.0%, 12, 0.713946587537
50.0%, 0, 0.691674290942
50.0%, 1, 0.919371974973
50.0%, 2, 0.670488835244
50.0%, 3, 0.682432432432
50.0%, 4, 0.666666666667
50.0%, 5, 0.919001828801
50.0%, 6, 0.70015128593
50.0%, 7, 0.922431865828
50.0%, 8, 0.919748046192
50.0%, 9, 0.705386698766
50.0%, 10, 0.696300901461
50.0%, 11, 0.700183936235
50.0%, 12, 0.652939421068
20.0%, 0, 0.640375586854
20.0%, 1, 0.902767920511
20.0%, 2, 0.646876932591
20.0%, 3, 0.606326338866
20.0%, 4, 0.623540549069
20.0%, 5, 0.910166883655
20.0%, 6, 0.645062671966
20.0%, 7, 0.910044890107
20.0%, 8, 0.908782400094
20.0%, 9, 0.628606887993
20.0%, 10, 0.634627233518
20.0%, 11, 0.639974976541
20.0%, 12, 0.602006688963
10.0%, 0, 0.519242902208
10.0%, 1, 0.897047466286
10.0%, 2, 0.546625766871
10.0%, 3, 0.542105263158
10.0%, 4, 0.544015825915
10.0%, 5, 0.898142671241
10.0%, 6, 0.562756876383
10.0%, 7, 0.898425655977
10.0%, 8, 0.89836681941
10.0%, 9, 0.595717481624
10.0%, 10, 0.592319508449
10.0%, 11, 0.560606060606
10.0%, 12, 0.517098114414
5.0%, 0, 0.455305466238
5.0%, 1, 0.877253320683
5.0%, 2, 0.475638841567
5.0%, 3, 0.495388669302
5.0%, 4, 0.483266398929
5.0%, 5, 0.876325925926
5.0%, 6, 0.46511627907
5.0%, 7, 0.870595167943
5.0%, 8, 0.882197259307
5.0%, 9, 0.571428571429
5.0%, 10, 0.502807236432
5.0%, 11, 0.483311938383
5.0%, 12, 0.456468955949
2.0%, 0, 0.304967269927
2.0%, 1, 0.855598455598
2.0%, 2, 0.337445573295
2.0%, 3, 0.337662337662
2.0%, 4, 0.352714670774
2.0%, 5, 0.851865008881
2.0%, 6, 0.319099378882
2.0%, 7, 0.825419075989
2.0%, 8, 0.863381528474
2.0%, 9, 0.3696221474
2.0%, 10, 0.298678099321
2.0%, 11, 0.318701586131
2.0%, 12, 0.236559139785
1.0%, 0, 0.174898051654
1.0%, 1, 0.838767042087
1.0%, 2, 0.213784564589
1.0%, 3, 0.188662533215
1.0%, 4, 0.201030927835
1.0%, 5, 0.834568193942
1.0%, 6, 0.228571428571
1.0%, 7, 0.828531106668
1.0%, 8, 0.850266086115
1.0%, 9, 0.201993931513
1.0%, 10, 0.262063554335
1.0%, 11, 0.212908633697
1.0%, 12, 0.206862745098
0.5%, 0, 0.145303580695
0.5%, 1, 0.838740176092
0.5%, 2, 0.231441048035
0.5%, 3, 0.238155136268
0.5%, 4, 0.150062526053
0.5%, 5, 0.842361606082
0.5%, 6, 0.166529266282
0.5%, 7, 0.833561114742
0.5%, 8, 0.843379240446
0.5%, 9, 0.148081264108
0.5%, 10, 0.208599404002
0.5%, 11, 0.153463293239
0.5%, 12, 0.112017400761
