Percentage, Seed, F-1 Score
100.0%, 0, 0.725118483412
100.0%, 1, 0.7252681764
100.0%, 2, 0.7252681764
100.0%, 3, 0.725768321513
100.0%, 4, 0.927667588723
100.0%, 5, 0.723480333731
100.0%, 6, 0.711914641375
100.0%, 7, 0.72339163949
100.0%, 8, 0.727163821503
100.0%, 9, 0.717872086073
100.0%, 10, 0.70985236517
100.0%, 11, 0.932351747725
100.0%, 12, 0.927561837456
50.0%, 0, 0.68487394958
50.0%, 1, 0.682268226823
50.0%, 2, 0.693755602032
50.0%, 3, 0.68487394958
50.0%, 4, 0.923421564582
50.0%, 5, 0.691172039771
50.0%, 6, 0.673873873874
50.0%, 7, 0.662657847264
50.0%, 8, 0.676098735701
50.0%, 9, 0.677170035672
50.0%, 10, 0.673463268366
50.0%, 11, 0.921405750799
50.0%, 12, 0.922178299605
20.0%, 0, 0.619901112485
20.0%, 1, 0.601512859304
20.0%, 2, 0.616332819723
20.0%, 3, 0.655374191561
20.0%, 4, 0.905099150142
20.0%, 5, 0.609066017645
20.0%, 6, 0.612257281553
20.0%, 7, 0.60244648318
20.0%, 8, 0.622783288248
20.0%, 9, 0.636363636364
20.0%, 10, 0.621055920025
20.0%, 11, 0.908623209588
20.0%, 12, 0.908714674234
10.0%, 0, 0.590822179732
10.0%, 1, 0.557335846686
10.0%, 2, 0.546105640107
10.0%, 3, 0.577065351418
10.0%, 4, 0.898244781784
10.0%, 5, 0.542563143124
10.0%, 6, 0.465770553298
10.0%, 7, 0.550697674419
10.0%, 8, 0.58672510958
10.0%, 9, 0.534242330338
10.0%, 10, 0.561631139944
10.0%, 11, 0.898717122606
10.0%, 12, 0.898348232787
5.0%, 0, 0.463933905307
5.0%, 1, 0.466985645933
5.0%, 2, 0.553571428571
5.0%, 3, 0.466750313676
5.0%, 4, 0.884246656409
5.0%, 5, 0.486075949367
5.0%, 6, 0.442678080098
5.0%, 7, 0.461342666242
5.0%, 8, 0.517230477395
5.0%, 9, 0.478085172521
5.0%, 10, 0.514415289925
5.0%, 11, 0.87074829932
5.0%, 12, 0.878273721549
2.0%, 0, 0.230042359075
2.0%, 1, 0.433636097275
2.0%, 2, 0.324210526316
2.0%, 3, 0.350220201294
2.0%, 4, 0.857430313073
2.0%, 5, 0.340052015605
2.0%, 6, 0.348601291116
2.0%, 7, 0.328387096774
2.0%, 8, 0.39720368605
2.0%, 9, 0.290086069493
2.0%, 10, 0.413931681179
2.0%, 11, 0.842187033164
2.0%, 12, 0.856738258202
1.0%, 0, 0.247358121331
1.0%, 1, 0.341886037987
1.0%, 2, 0.230820995962
1.0%, 3, 0.279008264463
1.0%, 4, 0.846951472418
1.0%, 5, 0.238610291708
1.0%, 6, 0.265350200555
1.0%, 7, 0.215916101172
1.0%, 8, 0.359427353031
1.0%, 9, 0.248214285714
1.0%, 10, 0.2880111849
1.0%, 11, 0.84233490566
1.0%, 12, 0.838188465621
0.5%, 0, 0.298333979078
0.5%, 1, 0.198312236287
0.5%, 2, 0.191243432574
0.5%, 3, 0.283306320908
0.5%, 4, 0.85860431129
0.5%, 5, 0.278008298755
0.5%, 6, 0.236289776574
0.5%, 7, 0.162020334536
0.5%, 8, 0.342182890855
0.5%, 9, 0.198915009042
0.5%, 10, 0.254625550661
0.5%, 11, 0.851543942993
0.5%, 12, 0.832851836566
