Percentage, Seed, F-1 Score
100.0%, 0, 0.716159809183
100.0%, 1, 0.718731650029
100.0%, 2, 0.714033018868
100.0%, 3, 0.697919718723
100.0%, 4, 0.926093869619
100.0%, 5, 0.701994641262
100.0%, 6, 0.717593984962
100.0%, 7, 0.722122838402
100.0%, 8, 0.716196136701
100.0%, 9, 0.70235670643
100.0%, 10, 0.711476372175
100.0%, 11, 0.930691918899
100.0%, 12, 0.925195691837
50.0%, 0, 0.689055472264
50.0%, 1, 0.674299487798
50.0%, 2, 0.673475518174
50.0%, 3, 0.692080378251
50.0%, 4, 0.923530452214
50.0%, 5, 0.674397314617
50.0%, 6, 0.687843616371
50.0%, 7, 0.649303452453
50.0%, 8, 0.66825633383
50.0%, 9, 0.657871591909
50.0%, 10, 0.676372459812
50.0%, 11, 0.919837587007
50.0%, 12, 0.919884454401
20.0%, 0, 0.629042485732
20.0%, 1, 0.614067278287
20.0%, 2, 0.635441527446
20.0%, 3, 0.648681790313
20.0%, 4, 0.906891668633
20.0%, 5, 0.616232771822
20.0%, 6, 0.601079784043
20.0%, 7, 0.590242442383
20.0%, 8, 0.607594936709
20.0%, 9, 0.607602514217
20.0%, 10, 0.613959234095
20.0%, 11, 0.908622908623
20.0%, 12, 0.908854474524
10.0%, 0, 0.56435006435
10.0%, 1, 0.52556554075
10.0%, 2, 0.546458141674
10.0%, 3, 0.570379436965
10.0%, 4, 0.889508002371
10.0%, 5, 0.552738654147
10.0%, 6, 0.46862188584
10.0%, 7, 0.538295908951
10.0%, 8, 0.565700185071
10.0%, 9, 0.536209553159
10.0%, 10, 0.592259225923
10.0%, 11, 0.898195876289
10.0%, 12, 0.894743059657
5.0%, 0, 0.447004608295
5.0%, 1, 0.41155234657
5.0%, 2, 0.477955271565
5.0%, 3, 0.42496194825
5.0%, 4, 0.882625758116
5.0%, 5, 0.44474212994
5.0%, 6, 0.377405338299
5.0%, 7, 0.419073203492
5.0%, 8, 0.464646464646
5.0%, 9, 0.415178571429
5.0%, 10, 0.436302521008
5.0%, 11, 0.861186460668
5.0%, 12, 0.868453608247
2.0%, 0, 0.188971082717
2.0%, 1, 0.235950577919
2.0%, 2, 0.309948979592
2.0%, 3, 0.204676586699
2.0%, 4, 0.84539241103
2.0%, 5, 0.219397021431
2.0%, 6, 0.236996210816
2.0%, 7, 0.308423913043
2.0%, 8, 0.253731343284
2.0%, 9, 0.253096752595
2.0%, 10, 0.254571026723
2.0%, 11, 0.845791001451
2.0%, 12, 0.836896833742
1.0%, 0, 0.122569737954
1.0%, 1, 0.0
1.0%, 2, 0.0388768898488
1.0%, 3, 0.141287284144
1.0%, 4, 0.827449378538
1.0%, 5, 0.106785317019
1.0%, 6, 0.0740095777101
1.0%, 7, 0.104037831939
1.0%, 8, 0.0663423264042
1.0%, 9, 0.0584551148225
1.0%, 10, 0.00863464651916
1.0%, 11, 0.824834997956
1.0%, 12, 0.823062558357
0.5%, 0, 0.177919708029
0.5%, 1, 0.120993878286
0.5%, 2, 0.117263843648
0.5%, 3, 0.181567138419
0.5%, 4, 0.852914636347
0.5%, 5, 0.181051016494
0.5%, 6, 0.135041551247
0.5%, 7, 0.0141843971631
0.5%, 8, 0.110243055556
0.5%, 9, 0.023314749113
0.5%, 10, 0.161290322581
0.5%, 11, 0.851221138113
0.5%, 12, 0.824673422764
