Percentage, Seed, F-1 Score
100.0%, 0, 0.727490278193
100.0%, 1, 0.726569473371
100.0%, 2, 0.71394374626
100.0%, 3, 0.712555391433
100.0%, 4, 0.929602356406
100.0%, 5, 0.720833333333
100.0%, 6, 0.732589689478
100.0%, 7, 0.722985074627
100.0%, 8, 0.717117117117
100.0%, 9, 0.722105892911
100.0%, 10, 0.707738095238
100.0%, 11, 0.933070409465
100.0%, 12, 0.927136714378
50.0%, 0, 0.702313006909
50.0%, 1, 0.692782233189
50.0%, 2, 0.688048411498
50.0%, 3, 0.702006588799
50.0%, 4, 0.923694305105
50.0%, 5, 0.675593426659
50.0%, 6, 0.694061187762
50.0%, 7, 0.65625
50.0%, 8, 0.694838514941
50.0%, 9, 0.667679222357
50.0%, 10, 0.676198987191
50.0%, 11, 0.916506662012
50.0%, 12, 0.921767903569
20.0%, 0, 0.646124523507
20.0%, 1, 0.609048361934
20.0%, 2, 0.625076080341
20.0%, 3, 0.646230841414
20.0%, 4, 0.906731166303
20.0%, 5, 0.616934214668
20.0%, 6, 0.625846153846
20.0%, 7, 0.602103960396
20.0%, 8, 0.646862685662
20.0%, 9, 0.610296411856
20.0%, 10, 0.611656441718
20.0%, 11, 0.905269320843
20.0%, 12, 0.904099863929
10.0%, 0, 0.616397760948
10.0%, 1, 0.542650299024
10.0%, 2, 0.553023397144
10.0%, 3, 0.5872074883
10.0%, 4, 0.895064288677
10.0%, 5, 0.553635474405
10.0%, 6, 0.51193887297
10.0%, 7, 0.540610786225
10.0%, 8, 0.579130986362
10.0%, 9, 0.52680798005
10.0%, 10, 0.572896596018
10.0%, 11, 0.894019504171
10.0%, 12, 0.893986874002
5.0%, 0, 0.504692387904
5.0%, 1, 0.520898315658
5.0%, 2, 0.532860824742
5.0%, 3, 0.493731918997
5.0%, 4, 0.881251114943
5.0%, 5, 0.491390728477
5.0%, 6, 0.394615889691
5.0%, 7, 0.443269908386
5.0%, 8, 0.511581067472
5.0%, 9, 0.472915398661
5.0%, 10, 0.484178187404
5.0%, 11, 0.871013298811
5.0%, 12, 0.868165680473
2.0%, 0, 0.274873524452
2.0%, 1, 0.42729237419
2.0%, 2, 0.335063009637
2.0%, 3, 0.362328767123
2.0%, 4, 0.862663495838
2.0%, 5, 0.316202432326
2.0%, 6, 0.283161512027
2.0%, 7, 0.291534949069
2.0%, 8, 0.326681448633
2.0%, 9, 0.321822189566
2.0%, 10, 0.411051212938
2.0%, 11, 0.851590528582
2.0%, 12, 0.847773231335
1.0%, 0, 0.189451022605
1.0%, 1, 0.270315091211
1.0%, 2, 0.198459447213
1.0%, 3, 0.295706371191
1.0%, 4, 0.833529273454
1.0%, 5, 0.233858267717
1.0%, 6, 0.189774696707
1.0%, 7, 0.114310270735
1.0%, 8, 0.294621979735
1.0%, 9, 0.172253258845
1.0%, 10, 0.228766538626
1.0%, 11, 0.832754050074
1.0%, 12, 0.842773207991
0.5%, 0, 0.270676691729
0.5%, 1, 0.116390816871
0.5%, 2, 0.120078740157
0.5%, 3, 0.239344262295
0.5%, 4, 0.853590490053
0.5%, 5, 0.160046728972
0.5%, 6, 0.1771019678
0.5%, 7, 0.0710121886592
0.5%, 8, 0.26328125
0.5%, 9, 0.129593810445
0.5%, 10, 0.234567901235
0.5%, 11, 0.830928685001
0.5%, 12, 0.834205728401
