Percentage, Seed, F-1 Score
100.0%, 0, 0.720285969616
100.0%, 1, 0.704394942806
100.0%, 2, 0.718796992481
100.0%, 3, 0.723227528923
100.0%, 4, 0.930676727187
100.0%, 5, 0.713987473904
100.0%, 6, 0.723007518797
100.0%, 7, 0.727654469106
100.0%, 8, 0.723302422973
100.0%, 9, 0.722205573869
100.0%, 10, 0.730769230769
100.0%, 11, 0.931298595799
100.0%, 12, 0.928424153166
50.0%, 0, 0.708358388455
50.0%, 1, 0.680994780473
50.0%, 2, 0.699330493001
50.0%, 3, 0.687824229478
50.0%, 4, 0.921380123857
50.0%, 5, 0.679176755448
50.0%, 6, 0.688474472638
50.0%, 7, 0.648385131018
50.0%, 8, 0.686540198735
50.0%, 9, 0.670319634703
50.0%, 10, 0.669724770642
50.0%, 11, 0.918453937809
50.0%, 12, 0.920651788877
20.0%, 0, 0.635684107897
20.0%, 1, 0.617139334155
20.0%, 2, 0.621538461538
20.0%, 3, 0.65710723192
20.0%, 4, 0.905502533286
20.0%, 5, 0.606329113924
20.0%, 6, 0.605206738132
20.0%, 7, 0.579728449637
20.0%, 8, 0.621193666261
20.0%, 9, 0.613184079602
20.0%, 10, 0.605442176871
20.0%, 11, 0.90631400316
20.0%, 12, 0.904947916667
10.0%, 0, 0.59373970346
10.0%, 1, 0.560586734694
10.0%, 2, 0.594560404807
10.0%, 3, 0.579589216945
10.0%, 4, 0.893399810066
10.0%, 5, 0.55905762496
10.0%, 6, 0.514719848053
10.0%, 7, 0.543012472018
10.0%, 8, 0.587492103601
10.0%, 9, 0.52465356107
10.0%, 10, 0.566529056843
10.0%, 11, 0.893398046898
10.0%, 12, 0.893622056561
5.0%, 0, 0.493959731544
5.0%, 1, 0.505090311987
5.0%, 2, 0.529931305201
5.0%, 3, 0.50947093403
5.0%, 4, 0.870317686107
5.0%, 5, 0.488157894737
5.0%, 6, 0.457910252211
5.0%, 7, 0.47256515775
5.0%, 8, 0.560209424084
5.0%, 9, 0.415752098128
5.0%, 10, 0.514615907546
5.0%, 11, 0.869825964252
5.0%, 12, 0.872316517831
2.0%, 0, 0.3216
2.0%, 1, 0.377243222604
2.0%, 2, 0.385118842577
2.0%, 3, 0.354649153128
2.0%, 4, 0.846131145606
2.0%, 5, 0.344471236652
2.0%, 6, 0.329982668977
2.0%, 7, 0.32539091586
2.0%, 8, 0.356133828996
2.0%, 9, 0.292339544513
2.0%, 10, 0.365377793544
2.0%, 11, 0.839938845113
2.0%, 12, 0.841751239084
1.0%, 0, 0.213836477987
1.0%, 1, 0.236819360415
1.0%, 2, 0.173953488372
1.0%, 3, 0.208858187729
1.0%, 4, 0.83595267526
1.0%, 5, 0.192549183759
1.0%, 6, 0.268929503916
1.0%, 7, 0.142042963612
1.0%, 8, 0.23642172524
1.0%, 9, 0.187070151307
1.0%, 10, 0.300857365549
1.0%, 11, 0.830751104566
1.0%, 12, 0.842340488092
0.5%, 0, 0.256380510441
0.5%, 1, 0.115085536547
0.5%, 2, 0.164370982553
0.5%, 3, 0.22864651774
0.5%, 4, 0.852227828096
0.5%, 5, 0.124078624079
0.5%, 6, 0.139130434783
0.5%, 7, 0.0943301555444
0.5%, 8, 0.281225451689
0.5%, 9, 0.0912659470069
0.5%, 10, 0.222222222222
0.5%, 11, 0.828699340245
0.5%, 12, 0.832016043412
