Percentage, Seed, F-1 Score,,,,Percentage, Seed, F-1 Score
100.0%,0,0.717948717949,,0.717948717949,,100.0%,0,0.717948717949
100.0%,4,,,,,100.0%,4,0.927015891701
50.0%,0,0.700059988002,,0.6990865977745,,50.0%,0,0.700059988002
50.0%,4,,,,,50.0%,4,0.916489738146
50.0%,2,0.698113207547,,,,50.0%,2,0.698113207547
20.0%,0,0.62960649594,,0.6208158115355,,20.0%,0,0.62960649594
20.0%,4,,,,,20.0%,4,0.906710697016
20.0%,2,0.612025127131,,,,20.0%,2,0.612025127131
10.0%,0,0.599236641221,,0.571679389313,,10.0%,0,0.599236641221
10.0%,4,,,,,10.0%,4,0.885749748803
10.0%,2,0.544122137405,,,,10.0%,2,0.544122137405
5.0%,0,0.477390180879,,0.5073931513815,,5.0%,0,0.477390180879
5.0%,4,,,,,5.0%,4,0.879228767447
5.0%,2,0.537396121884,,,,5.0%,2,0.537396121884
5.0%,3,0.474363007235,,,,5.0%,3,0.474363007235
2.0%,0,0.24607703281,,0.332032898643667,,2.0%,0,0.24607703281
2.0%,4,,,,,2.0%,4,0.853588065334
2.0%,2,0.368355995056,,,,2.0%,2,0.368355995056
2.0%,3,0.381665668065,,,,2.0%,3,0.381665668065
1.0%,0,0.265586474111,,0.249806052775667,,1.0%,0,0.265586474111
1.0%,4,,,,,1.0%,4,0.848143982002
1.0%,2,0.216412971542,,,,1.0%,2,0.216412971542
1.0%,3,0.267418712674,,,,1.0%,3,0.267418712674
0.5%,0,0.285936285936,,0.261870665942,,0.5%,0,0.285936285936
0.5%,4,,,,,0.5%,4,0.860082558068
0.5%,2,0.196625091709,,,,0.5%,2,0.196625091709
0.5%,3,0.303050620181,,,,0.5%,3,0.303050620181
