Percentage, Seed, F-1 Score
100.0%, 11, 0.716890881913
100.0%, 12, 0.717456508698
50.0%, 11, 0.692167577413
50.0%, 12, 0.63734939759
50.0%, 13, 0.918612880396
20.0%, 11, 0.642118076689
20.0%, 12, 0.601260126013
20.0%, 13, 0.911129470081
10.0%, 11, 0.584158415842
10.0%, 12, 0.501239157373
10.0%, 13, 0.895931882687
5.0%, 11, 0.486967187979
5.0%, 12, 0.459287531807
5.0%, 13, 0.868233492372
5.0%, 14, 0.882854287897
2.0%, 11, 0.294896030246
2.0%, 12, 0.311696264544
2.0%, 13, 0.858292408733
2.0%, 14, 0.861447910536
1.0%, 11, 0.247219574198
1.0%, 12, 0.241193535019
1.0%, 13, 0.852657866572
1.0%, 14, 0.836762365148
0.5%, 11, 0.216111290844
0.5%, 12, 0.185708826901
0.5%, 13, 0.841337602277
0.5%, 14, 0.846332875813
