Percentage, Seed, F-1 Score
100.0%, 0, 0.720930232558
100.0%, 2, 0.720359281437
100.0%, 3, 0.714929408231
100.0%, 7, 0.718070854421
100.0%, 12, 0.926835010889
50.0%, 0, 0.711111111111
50.0%, 2, 0.699138699139
50.0%, 3, 0.702817328082
50.0%, 7, 0.659043033404
50.0%, 12, 0.915310214673
20.0%, 0, 0.62034428795
20.0%, 2, 0.620605319474
20.0%, 3, 0.659245516388
20.0%, 7, 0.59499536608
20.0%, 12, 0.909058677539
10.0%, 0, 0.573208722741
10.0%, 2, 0.545398960563
10.0%, 3, 0.581840642372
10.0%, 7, 0.548655569782
10.0%, 12, 0.891409665603
5.0%, 0, 0.466131621188
5.0%, 2, 0.530663329161
5.0%, 3, 0.432182490752
5.0%, 7, 0.451063829787
5.0%, 12, 0.875804641824
2.0%, 0, 0.224894377641
2.0%, 2, 0.388004895961
2.0%, 3, 0.392034847542
2.0%, 7, 0.335548172757
2.0%, 12, 0.849964614296
1.0%, 0, 0.24584717608
1.0%, 2, 0.263176265271
1.0%, 3, 0.270571827057
1.0%, 7, 0.244236760125
1.0%, 12, 0.836365777542
0.5%, 0, 0.271489692727
0.5%, 2, 0.193161790624
0.5%, 3, 0.282586383852
0.5%, 7, 0.183166720413
0.5%, 12, 0.825915691693
