Percentage, Seed, F-1 Score
100.0%, 0, 0.726516052319
100.0%, 2, 0.720742292727
100.0%, 3, 0.718637992832
100.0%, 7, 0.714028776978
100.0%, 12, 0.927234192865
50.0%, 0, 0.705882352941
50.0%, 2, 0.701902748414
50.0%, 3, 0.700782661048
50.0%, 7, 0.652874961971
50.0%, 12, 0.919177596597
20.0%, 0, 0.648213710975
20.0%, 2, 0.622549019608
20.0%, 3, 0.664993726474
20.0%, 7, 0.582769230769
20.0%, 12, 0.90260777009
10.0%, 0, 0.599161560787
10.0%, 2, 0.568578553616
10.0%, 3, 0.588607594937
10.0%, 7, 0.544995263656
10.0%, 12, 0.894771125718
5.0%, 0, 0.479970866715
5.0%, 2, 0.527193860527
5.0%, 3, 0.465085638999
5.0%, 7, 0.4864
5.0%, 12, 0.866985194361
2.0%, 0, 0.28638028638
2.0%, 2, 0.350988700565
2.0%, 3, 0.361091672498
2.0%, 7, 0.352861952862
2.0%, 12, 0.8445555754
1.0%, 0, 0.229390681004
1.0%, 2, 0.183856502242
1.0%, 3, 0.307866014302
1.0%, 7, 0.133554541684
1.0%, 12, 0.842639593909
0.5%, 0, 0.243146603099
0.5%, 2, 0.146856356127
0.5%, 3, 0.216814159292
0.5%, 7, 0.0987261146497
0.5%, 12, 0.835244985589
