Percentage, Seed, F-1 Score
100.0%, 0100.0%, 2100.0%, 0, 0.713988713989
100.0%, 2, 0.726129901227
100.0%, 3, 0.723569931117
100.0%, 7, 0.720144752714
100.0%, 12, 0.927096204766
50.0%, 0, 0.694160144491
50.0%, 2, 0.690212511224
50.0%, 3, 0.691127819549
50.0%, 7, 0.636472705459
50.0%, 12, 0.919275900702
20.0%, 0, 0.634054562559
20.0%, 2, 0.618898623279
20.0%, 3, 0.65418840135
20.0%, 7, 0.58600311042
20.0%, 12, 0.905178529203
10.0%, 0, 0.576379974326
10.0%, 2, 0.560073937153
10.0%, 3, 0.563680682511
10.0%, 7, 0.552321981424
10.0%, 12, 0.892732334301
5.0%, 0, 0.444808385195
5.0%, 2, 0.527603513174
5.0%, 3, 0.456786066382
5.0%, 7, 0.469980632666
5.0%, 12, 0.878293157305
2.0%, 0, 0.244437064098
2.0%, 2, 0.396653238302
2.0%, 3, 0.357849196539
2.0%, 7, 0.376895306859
2.0%, 12, 0.849462365591
1.0%, 0, 0.232034632035
1.0%, 2, 0.226968441186
1.0%, 3, 0.303133514986
1.0%, 7, 0.231744115872
1.0%, 12, 0.840683962264
0.5%, 0, 0.262106072252
0.5%, 2, 0.202612072008
0.5%, 3, 0.285034013605
0.5%, 7, 0.176753121998
0.5%, 12, 0.820579080284
