Percentage, Seed, F-1 Score,,,,Percentage, Seed, F-1 Score
100.0%,0,0.71543264942,,0.71543264942,,100.0%,0,0.71543264942
100.0%,4,,,,,100.0%,4,0.927507213945
50.0%,0,0.707339172455,,0.6977881226655,,50.0%,0,0.707339172455
50.0%,4,,,,,50.0%,4,0.9221147038
50.0%,2,0.688237072876,,,,50.0%,2,0.688237072876
20.0%,0,0.6373486297,,0.635234241657,,20.0%,0,0.6373486297
20.0%,4,,,,,20.0%,4,0.904245283019
20.0%,2,0.633119853614,,,,20.0%,2,0.633119853614
10.0%,0,0.593509534962,,0.575045050384,,10.0%,0,0.593509534962
10.0%,4,,,,,10.0%,4,0.897620036797
10.0%,2,0.556580565806,,,,10.0%,2,0.556580565806
5.0%,0,0.495089739248,,0.5154906188795,,5.0%,0,0.495089739248
5.0%,4,,,,,5.0%,4,0.88614981541
5.0%,2,0.535891498511,,,,5.0%,2,0.535891498511
5.0%,3,0.464073829927,,,,5.0%,3,0.464073829927
2.0%,0,0.309906858594,,0.337282344913,,2.0%,0,0.309906858594
2.0%,4,,,,,2.0%,4,0.85971457334
2.0%,2,0.306713780919,,,,2.0%,2,0.306713780919
2.0%,3,0.395226395226,,,,2.0%,3,0.395226395226
1.0%,0,0.196668457818,,0.191351174274,,1.0%,0,0.196668457818
1.0%,4,,,,,1.0%,4,0.841986856906
1.0%,2,0.171376481313,,,,1.0%,2,0.171376481313
1.0%,3,0.206008583691,,,,1.0%,3,0.206008583691
0.5%,0,0.264394829612,,0.210704965669333,,0.5%,0,0.264394829612
0.5%,4,,,,,0.5%,4,0.853016142736
0.5%,2,0.134118713185,,,,0.5%,2,0.134118713185
0.5%,3,0.233601354211,,,,0.5%,3,0.233601354211
