Percentage, Seed, F-1 Score,,
100.0%,0,0.712247324614,,0.7234462621875
100.0%,7,0.734645199761,,
50.0%,0,0.709151313802,,0.683770652543667
50.0%,7,0.65642878651,,
50.0%,2,0.685731857319,,
20.0%,0,0.643736194383,,0.61387543977
20.0%,7,0.592014971928,,
20.0%,2,0.605875152999,,
10.0%,0,0.594289508632,,0.569769399370333
10.0%,7,0.544030084613,,
10.0%,2,0.570988604866,,
5.0%,0,0.490196078431,,0.493721972200333
5.0%,7,0.465961665565,,
5.0%,2,0.525008172605,,
5.0%,3,0.508771929825,,
2.0%,0,0.269497754185,,0.29876906564925
2.0%,7,0.305032417413,,
2.0%,2,0.279320987654,,
2.0%,3,0.341225103345,,
1.0%,0,0.212168486739,,0.211331280665
1.0%,7,0.201008925107,,
1.0%,2,0.188360728565,,
1.0%,3,0.243786982249,,
0.5%,0,0.258440046566,,0.19344176196325
0.5%,7,0.159961685824,,
0.5%,2,0.122282608696,,
0.5%,3,0.233082706767,,
