Percentage, Seed, F-1 Score
100.0%, 11, 0.725466586394
100.0%, 12, 0.714414144441
50.0%, 11, 0.69179331307
50.0%, 12, 0.65642878651
50.0%, 13, 0.918195222648
20.0%, 11, 0.64213836478
20.0%, 12, 0.600913242009
20.0%, 13, 0.908251450219
10.0%, 11, 0.552312233519
10.0%, 12, 0.515497553018
10.0%, 13, 0.898869755607
5.0%, 11, 0.506093649775
5.0%, 12, 0.472358292512
5.0%, 13, 0.868447550791
5.0%, 14, 0.891351765607
2.0%, 11, 0.260653702938
2.0%, 12, 0.205007824726
2.0%, 13, 0.854303460515
2.0%, 14, 0.861272695223
1.0%, 11, 0.180846325167
1.0%, 12, 0.229157378511
1.0%, 13, 0.838182141376
1.0%, 14, 0.828618382439
0.5%, 11, 0.130004710316
0.5%, 12, 0.121859967932
0.5%, 13, 0.834149253731
0.5%, 14, 0.832782629219
