Percentage, Seed, F-1 Score
100.0%, 0, 0.724655068986
100.0%, 2, 0.715354684226
100.0%, 3, 0.721674140508
100.0%, 7, 0.723493975904
100.0%, 12, 0.927881216121
50.0%, 0, 0.705597579425
50.0%, 2, 0.689823278489
50.0%, 3, 0.697900821418
50.0%, 7, 0.66485013624
50.0%, 12, 0.918928487137
20.0%, 0, 0.645569620253
20.0%, 2, 0.62257766841
20.0%, 3, 0.647913446677
20.0%, 7, 0.595705521472
20.0%, 12, 0.901652892562
10.0%, 0, 0.593340060545
10.0%, 2, 0.56384323641
10.0%, 3, 0.591635916359
10.0%, 7, 0.558474046279
10.0%, 12, 0.896229207364
5.0%, 0, 0.471704506947
5.0%, 2, 0.528005240747
5.0%, 3, 0.474083438685
5.0%, 7, 0.442380460956
5.0%, 12, 0.869488119163
2.0%, 0, 0.207717273711
2.0%, 2, 0.336715520481
2.0%, 3, 0.324620845434
2.0%, 7, 0.317599460553
2.0%, 12, 0.842757643726
1.0%, 0, 0.205677557579
1.0%, 2, 0.194589877836
1.0%, 3, 0.231055900621
1.0%, 7, 0.140034364261
1.0%, 12, 0.839903364563
0.5%, 0, 0.23006833713
0.5%, 2, 0.168674698795
0.5%, 3, 0.236099230111
0.5%, 7, 0.0833762223366
0.5%, 12, 0.835912219803
