Epoch, F-1 Score,,,,
1,0.570300158,1,0.5552325581,1,0.6233333333
2,0.7077175698,2,0.6297376093,2,0.6775956284
3,0.7558046437,3,0.6938472943,3,0.7490039841
4,0.7527386541,4,0.7107913669,4,0.7755102041
5,0.7952380952,5,0.7568345324,5,0.7981146897
6,0.8,6,0.7675438596,6,0.8163908589
7,0.8038125496,7,0.7845705968,7,0.817254902
8,0.7983935743,8,0.8037790698,8,0.8328125
9,0.817679558,9,0.784992785,9,0.8342498036
10,0.8085106383,10,0.8023088023,10,0.8301886792
11,0.8168120539,11,0.8155197657,11,0.8418568057
12,0.8321400159,12,0.8195763331,12,0.842519685
13,0.8320126783,13,0.8275862069,13,0.8479117415
14,0.8341232227,14,0.8272327965,14,0.8432601881
15,0.8474842767,15,0.8291970803,15,0.8549141966
16,0.8124513619,16,0.8218978102,16,0.8598425197
17,0.8392156863,17,0.8238719068,17,0.856918239
18,0.8412822518,18,0.8367346939,18,0.8643533123
19,0.840625,19,0.8357771261,19,0.8517647059
20,0.8446526151,20,0.8322440087,20,0.859166011
21,0.8393700787,21,0.831884058,21,0.8643933386
22,0.840625,22,0.8335766423,22,0.8605015674
23,0.8388106416,23,0.8391812866,23,0.8494877857
24,0.840625,24,0.8391812866,24,0.8582615505
25,0.8421875,25,0.8387096774,25,0.8645262334
26,0.841777085,26,0.8374816984,26,0.8699059561
27,0.8448275862,27,0.8335787923,27,0.8644859813
28,0.8372456964,28,0.8330893119,28,0.8672985782
29,0.839467502,29,0.8245614035,29,0.8660924041
30,0.8381548084,30,0.8333333333,30,0.86875
31,0.834375,31,0.8368690563,31,0.871754524
32,0.8377535101,32,0.8343108504,32,0.8672427337
33,0.8390625,33,0.8351648352,33,0.8658823529
34,0.8379013312,34,0.8351648352,34,0.8649921507
35,0.8398744113,35,0.8334556126,35,0.8647380766
36,0.8363351605,36,0.8345534407,36,0.8652037618
37,0.8337236534,37,0.8345534407,37,0.8663522013
38,0.8321623731,38,0.8312636961,38,0.8703125
39,0.8354231975,39,0.8328445748,39,0.8582615505
40,0.84144427,40,0.8334556126,40,0.8636363636
41,0.8381548084,41,0.8305209098,41,0.8654147105
42,0.8347689898,42,0.8327246165,42,0.8629600626
43,0.8369905956,43,0.8289473684,43,0.8652037618
44,0.8372456964,44,0.831625183,44,0.8629600626
45,0.8392156863,45,0.8322344322,45,0.8663522013
46,0.8376470588,46,0.8322344322,46,0.8663522013
47,0.8341158059,47,0.8258633358,47,0.8672427337
48,0.8338557994,48,0.8301610542,48,0.8667711599
49,0.8303362002,49,0.8322344322,49,0.8723570869
50,0.8294209703,50,0.8275862069,50,0.8654602675
51,0.8346333853,51,0.831625183,51,0.8730407524
52,0.8369905956,52,0.8310168252,52,0.8735271013
53,0.8272087568,53,0.8304093567,53,0.874411303
54,0.8296875,54,0.8300510576,54,0.8707909162
55,0.8283931357,55,0.8286969253,55,0.8735271013
56,0.8306010929,56,0.8309037901,56,0.8705882353
57,0.8290398126,57,0.8298027757,57,0.8723570869
58,0.8296875,58,0.8289473684,58,0.8701095462
59,0.83125,59,0.831625183,59,0.8677165354
60,0.8321623731,60,0.8299120235,60,0.8728414443
61,0.8300704777,61,0.8311306902,61,0.8749016522
62,0.8269381363,62,0.8310168252,62,0.8701095462
63,0.8274785324,63,0.8295537674,63,0.8730407524
64,0.8306010929,64,0.8295537674,64,0.868338558
65,0.8296875,65,0.8321167883,65,0.8701095462
66,0.8287724785,66,0.8339429407,66,0.8703125
67,0.8294209703,67,0.8312636961,67,0.8737254902
68,0.8274785324,68,0.8301610542,68,0.8712715856
69,0.8256450352,69,0.8306569343,69,0.8730407524
70,0.8262910798,70,0.8299120235,70,0.8714733542
71,0.8269381363,71,0.8295537674,71,0.8721568627
72,0.828125,72,0.8307692308,72,0.8746081505
73,0.8287724785,73,0.8339429407,73,0.8707909162
74,0.8287724785,74,0.831625183,74,0.8723570869
75,0.8303362002,75,0.8319882612,75,0.8719560094
76,0.8288854003,76,0.8345534407,76,0.8714733542
77,0.8265625,77,0.8322344322,77,0.8737254902
78,0.8294209703,78,0.8330893119,78,0.8725566849
79,0.8275862069,79,0.8360175695,79,0.8730407524
80,0.8296875,80,0.8305209098,80,0.8732394366
81,0.8303362002,81,0.831871345,81,0.8710691824
82,0.8290398126,82,0.8313782991,82,0.8692247455
