Epoch, F-1 Score,,,,
1,0.671641791,1,0.6312727273,1,0.6109785203
2,0.6865203762,2,0.7118133935,2,0.7586206897
3,0.7490039841,3,0.7218683652,3,0.7983870968
4,0.7606338616,4,0.7327285415,4,0.8076616121
5,0.7789305666,5,0.7158931083,5,0.8159749413
6,0.8019093079,6,0.7950760319,6,0.8252964427
7,0.811023622,7,0.784992785,7,0.8235294118
8,0.816101026,8,0.7994269341,8,0.8371361133
9,0.8097102584,9,0.8,9,0.8363351605
10,0.8138461538,10,0.8127721335,10,0.8470588235
11,0.8167202572,11,0.8145985401,11,0.8345098039
12,0.829770388,12,0.8204758472,12,0.8463949843
13,0.8267716535,13,0.8181818182,13,0.8431836091
14,0.8241590214,14,0.8168604651,14,0.84743083
15,0.8360528361,15,0.8177196805,15,0.8506645817
16,0.8277474669,16,0.832361516,16,0.8535433071
17,0.824695122,17,0.8134110787,17,0.8528
18,0.8360784314,18,0.8352941176,18,0.8589540412
19,0.8351477449,19,0.8259286235,19,0.8591549296
20,0.8335949765,20,0.8271334792,20,0.8533541342
21,0.8326787117,21,0.83099631,21,0.8678655199
22,0.822327044,22,0.8306569343,22,0.8602999211
23,0.8343653251,23,0.8298027757,23,0.8607198748
24,0.8269976726,24,0.8284883721,24,0.859166011
25,0.8307453416,25,0.8302446256,25,0.8636363636
26,0.8289269051,26,0.8305454545,26,0.8645262334
27,0.8352668213,27,0.8330893119,27,0.8645262334
28,0.8302180685,28,0.8335787923,28,0.8663017983
29,0.8238993711,29,0.8276363636,29,0.8633879781
30,0.8332040341,30,0.8334556126,30,0.8620689655
31,0.8311284047,31,0.8330893119,31,0.8659305994
32,0.8344988345,32,0.8266860044,32,0.8609583661
33,0.8316524438,33,0.8257411424,33,0.8607198748
34,0.8338509317,34,0.8298027757,34,0.8578199052
35,0.8317757009,35,0.828762046,35,0.8598425197
36,0.8265625,36,0.8031953522,36,0.85848319
37,0.8324240062,37,0.8289473684,37,0.8587213891
38,0.828125,38,0.8280907096,38,0.8618524333
39,0.8299531981,39,0.825235678,39,0.8627760252
40,0.8341085271,40,0.8304093567,40,0.8609794629
41,0.8299531981,41,0.825256975,41,0.859166011
42,0.8282352941,42,0.8309037901,42,0.8575899844
43,0.8344988345,43,0.8285504047,43,0.8616352201
44,0.8332040341,44,0.8300510576,44,0.855345912
45,0.8330733229,45,0.8275862069,45,0.8602825746
46,0.8344988345,46,0.8224163028,46,0.8569194683
47,0.8324240062,47,0.8213762811,47,0.8564705882
48,0.8295719844,48,0.8245614035,48,0.8562450903
49,0.8342412451,49,0.8300510576,49,0.8517350158
50,0.8295719844,50,0.8216374269,50,0.8551181102
51,0.8302180685,51,0.8293391431,51,0.8557919622
52,0.8286604361,52,0.8244719592,52,0.8573680063
53,0.8265625,53,0.8243045388,53,0.8578161822
54,0.8324240062,54,0.8254200146,54,0.859166011
55,0.8306010929,55,0.8257686676,55,0.8573680063
56,0.8315132605,56,0.8254200146,56,0.8560188828
57,0.8294209703,57,0.8154069767,57,0.8562450903
58,0.8330733229,58,0.8234442836,58,0.8589440504
59,0.8328125,59,0.825648415,59,0.8560188828
60,0.8287724785,60,0.8229317852,60,0.8526645768
61,0.8221528861,61,0.8230994152,61,0.8544453186
62,0.8326848249,62,0.8245614035,62,0.8510301109
63,0.8253719655,63,0.82284041,63,0.8544453186
64,0.8299531981,64,0.8283418554,64,0.8575924469
65,0.8302180685,65,0.8273328435,65,0.861878453
66,0.8286604361,66,0.8192419825,66,0.8571428571
67,0.8256450352,67,0.815942029,67,0.8602999211
68,0.825,68,0.8195050946,68,0.8607395751
69,0.825,69,0.8311499272,69,0.8566929134
70,0.8243559719,70,0.8237015362,70,0.8571428571
